S_No,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP_Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
1682,TX001682,AC00230,74.11,2023-07-18 16:05:00,Debit,San Jose,D000547,203.174.215.229,M011,Branch,22,Student,49,1.0,1257.9,2024-11-04 08:09:00
2013,TX002013,AC00177,434.67,2023-12-05 18:33:00,Credit,Virginia Beach,D000107,13.149.61.4,M024,Online,27,Student,124,1.0,1298.13,2024-11-04 08:10:00
1874,TX001874,AC00394,36.74,2023-02-06 17:21:00,Debit,Tucson,D000062,187.52.200.18,M094,Branch,33,Doctor,133,1.0,6217.58,2024-11-04 08:07:00
1026,TX001026,AC00214,101.34,2023-03-03 17:49:00,Debit,Boston,D000501,147.227.81.224,M068,ATM,24,Student,46,1.0,703.26,2024-11-04 08:10:00
1219,TX001219,AC00398,285.26,2023-11-01 16:09:00,Debit,Atlanta,D000137,64.57.44.102,M062,ATM,28,Student,93,1.0,167.72,2024-11-04 08:11:00
2350,TX002350,AC00500,134.55,2023-10-09 16:44:00,Debit,San Jose,D000219,100.137.90.188,M026,Online,59,Doctor,165,1.0,14852.42,2024-11-04 08:08:00
1644,TX001644,AC00154,12.94,2023-08-28 17:08:00,Debit,Fresno,D000364,114.115.12.20,M098,Branch,23,Student,158,1.0,921.23,2024-11-04 08:10:00
2025,TX002025,AC00087,130.54,2023-04-05 17:20:00,Debit,Atlanta,D000544,173.135.78.201,M074,ATM,64,Doctor,94,1.0,11204.62,2024-11-04 08:09:00
1600,TX001600,AC00410,704.69,2023-07-18 17:22:00,Debit,Las Vegas,D000451,50.202.8.53,M089,Online,51,Retired,150,1.0,3267.84,2024-11-04 08:10:00
1555,TX001555,AC00497,239.41,2023-11-01 17:23:00,Credit,Baltimore,D000693,145.246.171.225,M064,Online,42,Doctor,248,1.0,7860.65,2024-11-04 08:07:00
189,TX000189,AC00132,10.94,2023-10-23 17:24:00,Credit,Philadelphia,D000503,10.191.172.154,M083,ATM,60,Engineer,245,1.0,1241.99,2024-11-04 08:11:00
1208,TX001208,AC00267,31.81,2023-04-06 17:41:00,Debit,Fort Worth,D000641,147.114.91.132,M033,Online,51,Retired,149,1.0,1406.6,2024-11-04 08:06:00
1505,TX001505,AC00301,23.23,2023-04-20 16:34:00,Credit,Miami,D000573,156.96.135.18,M064,Branch,21,Student,122,1.0,269.01,2024-11-04 08:09:00
1256,TX001256,AC00086,847.45,2023-06-19 16:24:00,Debit,Jacksonville,D000469,151.247.130.190,M042,Branch,28,Student,175,1.0,422.32,2024-11-04 08:09:00
962,TX000962,AC00174,353.59,2023-08-11 17:57:00,Credit,New York,D000311,198.24.183.157,M046,Branch,52,Retired,109,2.93258857489891,1822.34,2024-11-04 08:10:00
1813,TX001813,AC00054,67.33,2023-04-13 18:15:00,Debit,Detroit,D000538,133.63.96.21,M073,Online,59,Engineer,36,1.0,5925.98,2024-11-04 08:07:00
1714,TX001714,AC00320,100.68,2023-01-12 16:44:00,Debit,Memphis,D000484,60.153.124.80,M022,Online,63,Retired,139,1.0,1123.75,2024-11-04 08:12:00
127,TX000127,AC00208,598.81,2023-09-04 16:48:00,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,57,Doctor,158,1.0,1415.52,2024-11-04 08:10:00
608,TX000608,AC00150,32.54,2023-07-04 16:25:00,Debit,Oklahoma City,D000008,4.101.189.38,M022,Online,25,Student,183,2.93258857489891,1544.88,2024-11-04 08:07:00
944,TX000944,AC00005,377.92,2023-02-22 17:29:00,Debit,Raleigh,D000360,179.43.245.131,M029,Branch,33,Engineer,204,1.0,2254.71,2024-11-04 08:06:00
163,TX000163,AC00257,60.65,2023-05-26 18:15:00,Credit,Tucson,D000456,10.144.131.89,M085,Branch,56,Retired,53,1.0,1047.28,2024-11-04 08:09:00
990,TX000990,AC00463,83.79,2023-10-12 16:37:00,Debit,Nashville,D000176,12.246.170.239,M031,ATM,57,Engineer,47,1.0,5061.3,2024-11-04 08:09:00
1027,TX001027,AC00204,184.97,2023-06-26 16:46:00,Debit,Denver,D000180,141.201.46.191,M012,Branch,58,Doctor,268,1.0,1156.67,2024-11-04 08:11:00
1646,TX001646,AC00378,981.76,2023-09-25 16:23:00,Debit,Milwaukee,D000625,146.53.16.47,M040,Online,45,Doctor,234,1.0,602.36,2024-11-04 08:06:00
1615,TX001615,AC00455,116.27,2023-11-28 18:04:00,Debit,Portland,D000351,200.164.13.160,M011,Online,57,Engineer,94,1.0,8726.92,2024-11-04 08:11:00
1884,TX001884,AC00462,184.51,2023-09-04 16:34:00,Credit,Portland,D000445,169.67.220.37,M021,Online,54,Doctor,118,1.0,9381.64,2024-11-04 08:09:00
2024,TX002024,AC00106,241.18,2023-05-30 18:29:00,Debit,Mesa,D000616,12.240.113.200,M025,ATM,25,Student,162,1.0,1445.53,2024-11-04 08:06:00
186,TX000186,AC00321,399.21,2023-01-30 16:15:00,Debit,Portland,D000301,30.229.179.194,M062,ATM,59,Engineer,109,1.0,3210.39,2024-11-04 08:08:00
953,TX000953,AC00295,148.85,2023-11-29 16:46:00,Debit,Mesa,D000441,155.37.19.43,M021,ATM,57,Doctor,25,1.0,7802.36,2024-11-04 08:08:00
353,TX000353,AC00365,139.45,2023-07-10 16:43:00,Debit,Boston,D000139,77.7.223.184,M004,Online,27,Student,31,1.0,1305.76,2024-11-04 08:10:00
894,TX000894,AC00090,50.26,2023-11-09 17:51:00,Debit,Las Vegas,D000268,52.1.78.30,M055,Branch,65,Retired,164,1.0,1519.38,2024-11-04 08:10:00
626,TX000626,AC00370,821.54,2023-08-22 18:11:00,Credit,Atlanta,D000142,19.111.192.175,M044,Branch,79,Retired,36,1.0,4040.32,2024-11-04 08:11:00
447,TX000447,AC00122,21.4,2023-12-26 16:07:00,Debit,Fresno,D000537,198.166.198.233,M027,Branch,34,Engineer,258,1.0,9594.11,2024-11-04 08:11:00
948,TX000948,AC00377,32.34,2023-06-21 16:52:00,Debit,Kansas City,D000622,176.96.83.253,M080,Branch,44,Doctor,45,1.0,7847.62,2024-11-04 08:09:00
1275,TX001275,AC00398,1159.39,2023-10-12 16:29:00,Debit,Oklahoma City,D000294,173.135.78.201,M091,Online,41,Doctor,150,1.0,6499.53,2024-11-04 08:06:00
1977,TX001977,AC00006,173.13,2023-10-05 16:46:00,Credit,Atlanta,D000485,5.50.152.168,M044,Online,20,Student,288,1.0,1490.34,2024-11-04 08:07:00
777,TX000777,AC00354,176.11,2023-08-10 16:48:00,Debit,San Jose,D000566,86.220.59.252,M091,Branch,38,Engineer,105,1.0,9155.35,2024-11-04 08:10:00
175,TX000175,AC00106,169.47,2023-03-22 16:10:00,Debit,Chicago,D000061,120.170.93.69,M046,Online,24,Student,19,1.0,1806.16,2024-11-04 08:07:00
2512,TX002512,AC00009,243.08,2023-02-14 16:21:00,Credit,Jacksonville,D000215,59.127.135.25,M041,Online,24,Student,93,1.0,131.25,2024-11-04 08:07:00
580,TX000580,AC00192,332.0,2023-04-27 16:27:00,Debit,Charlotte,D000101,197.23.128.119,M038,ATM,69,Retired,17,1.0,5943.13,2024-11-04 08:07:00
196,TX000196,AC00363,3.3,2023-03-27 16:42:00,Credit,Los Angeles,D000215,116.44.12.250,M085,Branch,50,Doctor,131,1.0,11385.37,2024-11-04 08:10:00
2002,TX002002,AC00332,431.22,2023-04-21 16:25:00,Credit,Austin,D000301,111.226.226.202,M051,Branch,73,Retired,129,1.0,6505.98,2024-11-04 08:07:00
1798,TX001798,AC00359,297.6,2023-10-03 16:48:00,Debit,Milwaukee,D000255,192.95.36.246,M099,Online,39,Doctor,162,1.0,1461.17,2024-11-04 08:09:00
546,TX000546,AC00045,204.56,2023-09-11 17:51:00,Credit,San Diego,D000094,44.197.126.59,M013,Branch,18,Student,179,1.0,364.72,2024-11-04 08:10:00
371,TX000371,AC00177,218.59,2023-11-27 16:43:00,Credit,Denver,D000004,72.192.101.196,M088,Branch,40,Engineer,123,1.0,6699.23,2024-11-04 08:07:00
1766,TX001766,AC00486,282.26,2023-06-26 16:55:00,Debit,Memphis,D000048,210.136.14.108,M028,Online,37,Engineer,278,1.0,6857.2,2024-11-04 08:08:00
1138,TX001138,AC00152,99.52,2023-04-10 17:49:00,Debit,San Diego,D000335,24.181.236.233,M083,ATM,52,Engineer,127,1.0,3798.09,2024-11-04 08:11:00
1990,TX001990,AC00311,56.96,2023-06-26 17:38:00,Debit,Albuquerque,D000379,70.130.169.235,M011,ATM,22,Student,135,1.0,1597.85,2024-11-04 08:07:00
2121,TX002121,AC00002,476.99,2023-01-10 16:00:00,Debit,San Diego,D000594,113.137.153.101,M022,Online,23,Student,187,1.0,1154.48,2024-11-04 08:10:00
793,TX000793,AC00468,253.55,2023-01-11 16:56:00,Debit,Jacksonville,D000112,41.82.55.163,M007,ATM,28,Engineer,85,2.93258857489891,2797.26,2024-11-04 08:09:00
1563,TX001563,AC00112,554.15,2023-04-18 17:17:00,Debit,Raleigh,D000087,151.247.130.190,M066,ATM,49,Doctor,108,1.0,14817.22,2024-11-04 08:12:00
724,TX000724,AC00237,72.75,2023-05-01 16:30:00,Debit,Phoenix,D000413,105.136.156.29,M067,ATM,64,Doctor,15,1.0,12042.79,2024-11-04 08:07:00
1591,TX001591,AC00172,1143.67,2023-10-30 16:18:00,Debit,Atlanta,D000056,184.4.253.143,M048,Online,66,Retired,111,1.0,7677.76,2024-11-04 08:10:00
1036,TX001036,AC00485,617.66,2023-02-16 17:05:00,Debit,Boston,D000253,34.169.232.37,M057,ATM,42,Engineer,128,1.0,7155.95,2024-11-04 08:08:00
2317,TX002317,AC00443,524.55,2023-09-19 16:32:00,Debit,El Paso,D000279,76.0.164.168,M039,ATM,39,Doctor,175,1.0,8292.75,2024-11-04 08:07:00
1978,TX001978,AC00294,335.7,2023-01-30 17:47:00,Debit,El Paso,D000180,184.57.159.204,M012,ATM,80,Retired,57,1.0,6601.44,2024-11-04 08:10:00
512,TX000512,AC00153,1116.48,2023-09-18 17:44:00,Debit,San Diego,D000633,164.75.163.220,M057,ATM,51,Engineer,55,1.0,447.53,2024-11-04 08:11:00
1253,TX001253,AC00460,379.54,2023-01-03 17:14:00,Credit,Indianapolis,D000668,109.105.179.186,M040,Branch,41,Doctor,118,1.0,12571.76,2024-11-04 08:06:00
630,TX000630,AC00296,374.61,2023-08-29 18:30:00,Credit,Mesa,D000056,34.125.226.63,M079,Online,75,Retired,37,1.0,1389.71,2024-11-04 08:11:00
1523,TX001523,AC00298,77.5,2023-05-23 16:44:00,Credit,Fort Worth,D000333,198.166.198.233,M061,Online,51,Doctor,201,1.0,11079.77,2024-11-04 08:08:00
1410,TX001410,AC00157,102.81,2023-12-04 16:23:00,Debit,Seattle,D000076,21.28.32.1,M074,Branch,76,Retired,47,1.0,3228.87,2024-11-04 08:08:00
2369,TX002369,AC00202,237.84,2023-09-22 17:40:00,Debit,Nashville,D000111,193.108.17.115,M047,Branch,26,Student,16,1.0,8932.39,2024-11-04 08:09:00
1288,TX001288,AC00261,451.68,2023-04-18 18:55:00,Debit,Houston,D000113,210.160.90.52,M072,Online,33,Engineer,15,1.0,4381.54,2024-11-04 08:09:00
641,TX000641,AC00170,41.51,2023-10-04 16:47:00,Debit,Phoenix,D000688,16.51.235.240,M084,Online,28,Student,48,1.0,609.6,2024-11-04 08:11:00
1964,TX001964,AC00220,483.92,2023-10-16 18:57:00,Debit,New York,D000046,145.179.219.57,M092,ATM,70,Retired,115,1.0,3138.0,2024-11-04 08:06:00
810,TX000810,AC00083,8.65,2023-11-20 16:28:00,Debit,Mesa,D000105,217.233.219.196,M060,ATM,68,Retired,198,1.0,4201.22,2024-11-04 08:11:00
852,TX000852,AC00412,227.5,2023-03-13 16:59:00,Debit,Sacramento,D000227,134.140.85.231,M055,Online,34,Doctor,277,1.0,11505.35,2024-11-04 08:11:00
1176,TX001176,AC00267,254.0,2023-05-15 17:33:00,Debit,Nashville,D000436,49.31.186.82,M098,Branch,35,Doctor,63,1.0,5788.53,2024-11-04 08:08:00
700,TX000700,AC00116,261.69,2023-11-27 17:29:00,Debit,Philadelphia,D000117,197.52.3.107,M042,ATM,53,Retired,84,1.0,5126.65,2024-11-04 08:09:00
1340,TX001340,AC00175,557.41,2023-04-14 16:52:00,Credit,Washington,D000180,194.29.57.163,M087,Online,80,Retired,49,1.0,2968.75,2024-11-04 08:09:00
356,TX000356,AC00374,516.72,2023-10-09 18:43:00,Debit,Mesa,D000489,197.187.216.106,M025,ATM,42,Engineer,128,1.0,2015.69,2024-11-04 08:11:00
253,TX000253,AC00041,371.69,2023-12-22 16:27:00,Debit,San Francisco,D000374,124.180.225.109,M020,Branch,67,Retired,143,1.0,3484.32,2024-11-04 08:09:00
570,TX000570,AC00460,170.53,2023-02-06 18:59:00,Debit,Oklahoma City,D000140,158.135.64.240,M089,Branch,24,Student,58,1.0,801.01,2024-11-04 08:09:00
361,TX000361,AC00397,466.85,2023-07-17 16:57:00,Debit,Austin,D000016,136.104.90.223,M007,Branch,56,Retired,165,1.0,5422.53,2024-11-04 08:09:00
1864,TX001864,AC00017,103.48,2023-01-30 16:04:00,Debit,Baltimore,D000640,1.98.25.114,M095,ATM,32,Engineer,33,1.0,6494.25,2024-11-04 08:09:00
2319,TX002319,AC00225,56.84,2023-08-14 17:29:00,Debit,Raleigh,D000654,155.140.33.42,M088,ATM,45,Engineer,185,1.0,7977.78,2024-11-04 08:09:00
940,TX000940,AC00157,214.73,2023-11-10 18:28:00,Credit,Los Angeles,D000104,57.166.147.242,M061,ATM,46,Doctor,26,1.0,5368.42,2024-11-04 08:07:00
2225,TX002225,AC00143,281.47,2023-08-18 17:02:00,Debit,Philadelphia,D000469,100.198.165.4,M029,ATM,34,Engineer,142,1.0,4437.48,2024-11-04 08:11:00
1776,TX001776,AC00021,486.61,2023-11-28 16:17:00,Credit,Sacramento,D000334,152.140.239.181,M047,ATM,48,Engineer,130,1.0,2006.69,2024-11-04 08:06:00
2184,TX002184,AC00324,255.32,2023-09-13 16:14:00,Debit,Baltimore,D000652,47.167.178.158,M018,ATM,80,Retired,27,1.0,6290.62,2024-11-04 08:07:00
128,TX000128,AC00176,841.28,2023-08-09 17:34:00,Debit,Tucson,D000276,101.223.82.253,M083,Online,26,Student,80,1.0,1103.64,2024-11-04 08:09:00
920,TX000920,AC00280,672.74,2023-08-10 16:39:00,Credit,Colorado Springs,D000033,169.67.220.37,M068,Branch,46,Engineer,118,1.0,5386.52,2024-11-04 08:11:00
1053,TX001053,AC00022,168.0,2023-08-24 16:01:00,Credit,Tucson,D000669,72.128.135.172,M053,Branch,32,Engineer,11,1.0,3498.58,2024-11-04 08:12:00
1630,TX001630,AC00334,378.2,2023-01-09 17:12:00,Debit,Mesa,D000588,21.122.39.207,M008,Branch,40,Engineer,167,1.0,7372.81,2024-11-04 08:11:00
2356,TX002356,AC00238,335.68,2023-11-06 17:20:00,Debit,Tucson,D000558,86.83.61.143,M062,Online,24,Student,142,1.0,1188.95,2024-11-04 08:11:00
1213,TX001213,AC00417,51.15,2023-03-01 17:26:00,Credit,Los Angeles,D000215,221.206.44.63,M019,Branch,46,Engineer,199,1.0,8992.25,2024-11-04 08:10:00
1046,TX001046,AC00474,230.08,2023-05-01 16:23:00,Debit,Austin,D000045,93.52.44.101,M006,Online,79,Retired,124,1.0,4466.1,2024-11-04 08:11:00
2256,TX002256,AC00349,232.35,2023-05-12 16:14:00,Credit,Atlanta,D000438,141.121.30.32,M048,Branch,33,Engineer,153,1.0,4186.25,2024-11-04 08:08:00
256,TX000256,AC00258,237.99,2023-05-08 16:45:00,Credit,Kansas City,D000563,168.55.35.243,M043,Branch,39,Doctor,86,1.0,8510.09,2024-11-04 08:11:00
1261,TX001261,AC00247,414.77,2024-01-01 17:37:00,Debit,San Francisco,D000577,49.20.211.229,M014,Online,29,Doctor,274,1.0,5599.81,2024-11-04 08:08:00
1997,TX001997,AC00373,14.16,2023-01-09 16:49:00,Credit,Oklahoma City,D000665,12.240.113.200,M076,Branch,74,Retired,290,1.0,5399.76,2024-11-04 08:10:00
2422,TX002422,AC00152,29.92,2024-01-01 16:25:00,Credit,Denver,D000672,167.95.191.52,M010,Online,68,Doctor,63,1.0,7855.01,2024-11-04 08:10:00
614,TX000614,AC00084,3.44,2023-01-19 17:24:00,Debit,Fort Worth,D000389,45.64.74.86,M004,ATM,78,Retired,108,1.0,7561.33,2024-11-04 08:12:00
1342,TX001342,AC00403,395.27,2023-08-07 16:38:00,Credit,Miami,D000045,150.83.4.238,M085,Online,18,Student,167,1.0,1764.08,2024-11-04 08:08:00
217,TX000217,AC00096,195.76,2023-05-22 16:17:00,Debit,Philadelphia,D000517,119.163.214.161,M056,Branch,75,Retired,99,1.0,7323.53,2024-11-04 08:09:00
1330,TX001330,AC00110,224.28,2023-02-15 16:50:00,Debit,Chicago,D000316,189.20.224.220,M068,Online,64,Retired,68,1.0,5767.51,2024-11-04 08:10:00
416,TX000416,AC00301,193.54,2023-10-24 16:43:00,Debit,Oklahoma City,D000150,196.244.194.198,M088,Branch,80,Retired,267,1.0,2929.51,2024-11-04 08:08:00
1835,TX001835,AC00349,1.14,2023-10-23 16:15:00,Debit,Indianapolis,D000159,93.218.115.132,M071,Branch,43,Doctor,137,1.0,13913.92,2024-11-04 08:11:00
1617,TX001617,AC00114,34.74,2023-04-28 16:03:00,Credit,Portland,D000142,161.71.2.223,M075,Online,59,Retired,72,1.0,3736.57,2024-11-04 08:12:00
1675,TX001675,AC00285,667.95,2023-07-27 17:51:00,Credit,Oklahoma City,D000250,221.23.158.87,M027,ATM,62,Doctor,253,1.0,13558.56,2024-11-04 08:08:00
2227,TX002227,AC00273,30.48,2023-12-04 16:27:00,Credit,Seattle,D000481,49.20.211.229,M073,Branch,32,Doctor,78,1.0,11481.85,2024-11-04 08:07:00
655,TX000655,AC00381,391.96,2023-06-19 16:21:00,Debit,Nashville,D000452,121.67.144.20,M032,ATM,64,Retired,79,1.0,2174.16,2024-11-04 08:06:00
166,TX000166,AC00182,231.91,2023-01-31 18:31:00,Debit,Memphis,D000371,161.71.2.223,M044,ATM,34,Engineer,165,1.0,112.76,2024-11-04 08:12:00
373,TX000373,AC00069,157.37,2023-11-15 16:54:00,Credit,Dallas,D000001,66.23.166.248,M014,Branch,42,Doctor,289,1.0,13964.31,2024-11-04 08:10:00
337,TX000337,AC00332,98.53,2023-01-16 16:31:00,Debit,Denver,D000684,119.163.214.161,M085,Branch,69,Retired,166,1.0,3564.8,2024-11-04 08:11:00
2119,TX002119,AC00248,746.78,2023-11-27 16:29:00,Credit,Mesa,D000243,112.66.191.48,M001,Branch,21,Student,64,1.0,1699.81,2024-11-04 08:07:00
925,TX000925,AC00237,590.01,2023-02-06 16:42:00,Debit,San Jose,D000248,197.162.55.147,M044,Online,29,Doctor,140,2.93258857489891,9791.74,2024-11-04 08:07:00
842,TX000842,AC00362,644.08,2023-05-08 17:29:00,Debit,Atlanta,D000377,57.232.212.116,M018,Online,24,Student,55,1.0,1980.62,2024-11-04 08:07:00
599,TX000599,AC00095,830.01,2023-07-21 16:43:00,Credit,Chicago,D000559,5.252.94.135,M071,Online,66,Retired,96,1.0,4253.18,2024-11-04 08:11:00
1545,TX001545,AC00202,148.54,2023-12-22 16:25:00,Credit,Columbus,D000156,145.179.219.57,M048,Branch,71,Retired,107,1.0,5677.05,2024-11-04 08:11:00
1994,TX001994,AC00409,568.68,2023-04-25 18:47:00,Debit,Houston,D000283,189.248.139.91,M075,ATM,72,Retired,101,1.0,2940.04,2024-11-04 08:08:00
1028,TX001028,AC00394,451.15,2023-02-27 16:47:00,Debit,Colorado Springs,D000245,201.114.165.141,M094,ATM,46,Engineer,175,1.0,1356.47,2024-11-04 08:10:00
924,TX000924,AC00129,218.37,2023-06-05 16:27:00,Debit,Houston,D000651,147.119.62.178,M075,ATM,62,Doctor,105,1.0,9942.24,2024-11-04 08:10:00
2281,TX002281,AC00137,333.67,2023-07-06 18:09:00,Debit,Fort Worth,D000288,129.108.48.116,M037,Online,36,Engineer,68,1.0,9238.08,2024-11-04 08:08:00
432,TX000432,AC00499,461.52,2023-05-15 16:40:00,Credit,Denver,D000670,59.127.135.25,M068,Branch,24,Student,44,1.0,1995.18,2024-11-04 08:08:00
1627,TX001627,AC00257,18.23,2023-03-22 17:31:00,Debit,Nashville,D000187,193.217.248.188,M064,ATM,56,Engineer,28,1.0,8422.2,2024-11-04 08:11:00
1049,TX001049,AC00407,122.45,2023-01-16 16:50:00,Debit,New York,D000505,119.43.28.203,M065,Branch,46,Doctor,98,1.0,7255.49,2024-11-04 08:07:00
1524,TX001524,AC00246,3.65,2023-02-13 17:48:00,Debit,Miami,D000115,21.28.32.1,M098,Online,69,Doctor,146,1.0,10017.11,2024-11-04 08:11:00
1403,TX001403,AC00133,447.95,2023-01-11 17:27:00,Debit,Tucson,D000442,19.20.13.234,M002,Branch,29,Engineer,75,1.0,7544.4,2024-11-04 08:09:00
1351,TX001351,AC00351,203.12,2023-01-18 16:59:00,Debit,San Jose,D000004,77.21.150.75,M078,ATM,56,Retired,181,1.0,1562.39,2024-11-04 08:09:00
1415,TX001415,AC00075,73.23,2023-06-23 16:41:00,Debit,San Francisco,D000128,66.226.179.193,M090,Branch,20,Student,172,1.0,1309.85,2024-11-04 08:12:00
1123,TX001123,AC00204,219.02,2024-01-01 16:30:00,Credit,San Diego,D000442,187.223.139.194,M093,Online,54,Engineer,68,1.0,7375.73,2024-11-04 08:09:00
1480,TX001480,AC00042,336.05,2023-04-24 17:18:00,Debit,San Antonio,D000044,89.237.88.251,M019,Branch,28,Student,164,1.0,1635.05,2024-11-04 08:12:00
535,TX000535,AC00152,227.22,2023-03-27 18:52:00,Debit,El Paso,D000350,197.187.216.106,M074,ATM,53,Doctor,220,1.0,832.82,2024-11-04 08:11:00
531,TX000531,AC00369,541.79,2023-08-11 16:43:00,Debit,Mesa,D000558,93.169.212.219,M098,ATM,22,Student,125,1.0,1454.08,2024-11-04 08:11:00
732,TX000732,AC00394,230.32,2023-05-15 18:15:00,Debit,Las Vegas,D000272,49.174.157.140,M015,Branch,35,Engineer,56,1.0,791.46,2024-11-04 08:08:00
1065,TX001065,AC00158,191.62,2023-07-28 17:19:00,Debit,Jacksonville,D000663,165.114.224.47,M016,Branch,63,Doctor,51,1.0,1981.67,2024-11-04 08:07:00
71,TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1.0,3846.28,2024-11-04 08:10:00
1102,TX001102,AC00462,47.48,2023-02-20 16:47:00,Debit,El Paso,D000198,196.244.194.198,M027,Branch,24,Student,66,1.0,585.52,2024-11-04 08:08:00
1458,TX001458,AC00218,118.83,2023-06-26 16:10:00,Debit,Virginia Beach,D000321,190.251.45.32,M039,Online,28,Student,295,1.0,1616.3,2024-11-04 08:08:00
2193,TX002193,AC00059,55.98,2023-09-25 16:41:00,Credit,Kansas City,D000551,70.130.169.235,M013,Branch,24,Student,87,1.0,7047.04,2024-11-04 08:12:00
1113,TX001113,AC00271,36.76,2023-04-10 16:51:00,Credit,Philadelphia,D000380,58.1.27.124,M053,Online,65,Retired,108,1.0,1228.93,2024-11-04 08:12:00
